source_id,target_id
10490,P00001
11185,P00001
1312,P00001
1621,P00001
1644,P00001
23673,P00001
28968,P00001
340024,P00001
348932,P00001
388662,P00001
4128,P00001
4129,P00001
4837,P00001
5409,P00001
54716,P00001
55117,P00001
6530,P00001
6531,P00001
6570,P00001
6571,P00001
6616,P00001
6843,P00001
6844,P00001
7054,P00001
8417,P00001
8773,P00001
9342,P00001
10228,P00002
147,P00002
148,P00002
150,P00002
151,P00002
152,P00002
23236,P00002
2767,P00002
3708,P00002
51196,P00002
5330,P00002
5331,P00002
5332,P00002
5578,P00002
5580,P00002
5581,P00002
5582,P00002
6616,P00002
6843,P00002
6844,P00002
8677,P00002
8773,P00002
9341,P00002
102,P00003
10524,P00003
1128,P00003
1129,P00003
1131,P00003
1132,P00003
1133,P00003
1139,P00003
1432,P00003
147700,P00003
225689,P00003
23385,P00003
23621,P00003
25825,P00003
29941,P00003
320,P00003
321,P00003
351,P00003
3831,P00003
5045,P00003
5046,P00003
5122,P00003
5126,P00003
54760,P00003
5578,P00003
5579,P00003
5580,P00003
5581,P00003
5582,P00003
5583,P00003
5584,P00003
5585,P00003
55851,P00003
5586,P00003
5588,P00003
5590,P00003
5594,P00003
5595,P00003
5596,P00003
5597,P00003
5598,P00003
5599,P00003
5600,P00003
5601,P00003
5602,P00003
5603,P00003
5663,P00003
5664,P00003
6300,P00003
64837,P00003
6868,P00003
775,P00003
776,P00003
778,P00003
779,P00003
782,P00003
783,P00003
83464,P00003
8754,P00003
89832,P00003
89953,P00003
9159,P00003
9546,P00003
1001,P00004
10097,P00004
10307,P00004
10524,P00004
10612,P00004
10893,P00004
11143,P00004
11167,P00004
11211,P00004
11317,P00004
118856,P00004
1499,P00004
1855,P00004
1856,P00004
1857,P00004
2066,P00004
2081,P00004
23321,P00004
23385,P00004
23621,P00004
2535,P00004
25825,P00004
2932,P00004
323,P00004
345651,P00004
351,P00004
3516,P00004
3728,P00004
4035,P00004
4036,P00004
4037,P00004
4038,P00004
4040,P00004
4041,P00004
4301,P00004
4312,P00004
4313,P00004
4316,P00004
4317,P00004
4318,P00004
4322,P00004
4323,P00004
4324,P00004
4325,P00004
4326,P00004
