identifier,name,url
P00001,Adrenaline and noradrenaline biosynthesis,http://identifiers.org/panther.pathway/P00001
P00002,Alpha adrenergic receptor signaling pathway,http://identifiers.org/panther.pathway/P00002
P00003,Alzheimer disease-amyloid secretase pathway,http://identifiers.org/panther.pathway/P00003
P00004,Alzheimer disease-presenilin pathway,http://identifiers.org/panther.pathway/P00004
P00005,Angiogenesis,http://identifiers.org/panther.pathway/P00005
P00006,Apoptosis signaling pathway,http://identifiers.org/panther.pathway/P00006
P00007,Axon guidance mediated by semaphorins,http://identifiers.org/panther.pathway/P00007
P00008,Axon guidance mediated by Slit/Robo,http://identifiers.org/panther.pathway/P00008
P00009,Axon guidance mediated by netrin,http://identifiers.org/panther.pathway/P00009
P00010,B cell activation,http://identifiers.org/panther.pathway/P00010
P00011,Blood coagulation,http://identifiers.org/panther.pathway/P00011
P00012,Cadherin signaling pathway,http://identifiers.org/panther.pathway/P00012
P00013,Cell cycle,http://identifiers.org/panther.pathway/P00013
P00014,Cholesterol biosynthesis,http://identifiers.org/panther.pathway/P00014
P00015,Circadian clock system,http://identifiers.org/panther.pathway/P00015
P00016,Cytoskeletal regulation by Rho GTPase,http://identifiers.org/panther.pathway/P00016
P00017,DNA replication,http://identifiers.org/panther.pathway/P00017
P00018,EGF receptor signaling pathway,http://identifiers.org/panther.pathway/P00018
P00019,untitled,http://identifiers.org/panther.pathway/P00019
P00020,FAS signaling pathway,http://identifiers.org/panther.pathway/P00020
P00021,FGF signaling pathway,http://identifiers.org/panther.pathway/P00021
P00022,General transcription by RNA polymerase I,http://identifiers.org/panther.pathway/P00022
P00023,General transcription regulation,http://identifiers.org/panther.pathway/P00023
P00024,Glycolysis,http://identifiers.org/panther.pathway/P00024
P00025,Hedgehog signaling pathway,http://identifiers.org/panther.pathway/P00025
P00026,Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway,http://identifiers.org/panther.pathway/P00026
P00027,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,http://identifiers.org/panther.pathway/P00027
P00028,Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction,http://identifiers.org/panther.pathway/P00028
P00029,Huntington disease,http://identifiers.org/panther.pathway/P00029
P00030,Hypoxia response via HIF activation,http://identifiers.org/panther.pathway/P00030
P00031,Inflammation mediated by chemokine and cytokine signaling pathway,http://identifiers.org/panther.pathway/P00031
P00032,Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade,http://identifiers.org/panther.pathway/P00032
P00033,Insulin/IGF pathway-protein kinase B signaling cascade,http://identifiers.org/panther.pathway/P00033
P00034,Integrin signalling pathway,http://identifiers.org/panther.pathway/P00034
P00035,Interferon-gamma signaling pathway,http://identifiers.org/panther.pathway/P00035
P00036,Interleukin signaling pathway,http://identifiers.org/panther.pathway/P00036
P00037,Ionotropic glutamate receptor pathway,http://identifiers.org/panther.pathway/P00037
P00038,JAK/STAT signaling pathway,http://identifiers.org/panther.pathway/P00038
P00039,Metabotropic glutamate receptor group III pathway,http://identifiers.org/panther.pathway/P00039
P00040,Metabotropic glutamate receptor group II pathway,http://identifiers.org/panther.pathway/P00040
P00041,Metabotropic glutamate receptor group I pathway,http://identifiers.org/panther.pathway/P00041
P00042,Muscarinic acetylcholine receptor 1 and 3 signaling pathway,http://identifiers.org/panther.pathway/P00042
P00043,Muscarinic acetylcholine receptor 2 and 4 signaling pathway,http://identifiers.org/panther.pathway/P00043
P00044,Nicotinic acetylcholine receptor signaling pathway,http://identifiers.org/panther.pathway/P00044
P00045,Notch signaling pathway,http://identifiers.org/panther.pathway/P00045
P00046,Oxidative stress response,http://identifiers.org/panther.pathway/P00046
P00047,PDGF signaling pathway,http://identifiers.org/panther.pathway/P00047
P00048,PI3 kinase pathway,http://identifiers.org/panther.pathway/P00048
P00049,Parkinson disease,http://identifiers.org/panther.pathway/P00049
P00050,Plasminogen activating cascade,http://identifiers.org/panther.pathway/P00050
P00051,TCA cycle,http://identifiers.org/panther.pathway/P00051
P00052,TGF-beta signaling pathway,http://identifiers.org/panther.pathway/P00052
P00053,T cell activation,http://identifiers.org/panther.pathway/P00053
P00054,Toll receptor signaling pathway,http://identifiers.org/panther.pathway/P00054
P00055,Transcription regulation by bZIP transcription factor,http://identifiers.org/panther.pathway/P00055
P00056,VEGF signaling pathway,http://identifiers.org/panther.pathway/P00056
P00057,Wnt signaling pathway,http://identifiers.org/panther.pathway/P00057
P00058,mRNA splicing,http://identifiers.org/panther.pathway/P00058
P00059,p53 pathway,http://identifiers.org/panther.pathway/P00059
P00060,Ubiquitin proteasome pathway,http://identifiers.org/panther.pathway/P00060
P02721,ATP synthesis,http://identifiers.org/panther.pathway/P02721
P02722,Acetate utilization,http://identifiers.org/panther.pathway/P02722
P02723,Adenine and hypoxanthine salvage pathway,http://identifiers.org/panther.pathway/P02723
P02724,Alanine biosynthesis,http://identifiers.org/panther.pathway/P02724
P02725,Allantoin degradation,http://identifiers.org/panther.pathway/P02725
P02726,Aminobutyrate degradation,http://identifiers.org/panther.pathway/P02726
P02727,Androgen/estrogene/progesterone biosynthesis,http://identifiers.org/panther.pathway/P02727
P02728,Arginine biosynthesis,http://identifiers.org/panther.pathway/P02728
P02729,Ascorbate degradation,http://identifiers.org/panther.pathway/P02729
P02730,Asparagine and aspartate biosynthesis,http://identifiers.org/panther.pathway/P02730
P02736,Coenzyme A biosynthesis,http://identifiers.org/panther.pathway/P02736
P02737,Cysteine biosynthesis,http://identifiers.org/panther.pathway/P02737
P02738,De novo purine biosynthesis,http://identifiers.org/panther.pathway/P02738
P02739,De novo pyrimidine deoxyribonucleotide biosynthesis,http://identifiers.org/panther.pathway/P02739
P02740,De novo pyrimidine ribonucleotides biosythesis,http://identifiers.org/panther.pathway/P02740
P02741,Flavin biosynthesis,http://identifiers.org/panther.pathway/P02741
P02742,Tetrahydrofolate biosynthesis,http://identifiers.org/panther.pathway/P02742
P02743,Formyltetrahydroformate biosynthesis,http://identifiers.org/panther.pathway/P02743
P02744,Fructose galactose metabolism,http://identifiers.org/panther.pathway/P02744
P02745,Glutamine glutamate conversion,http://identifiers.org/panther.pathway/P02745
P02746,Heme biosynthesis,http://identifiers.org/panther.pathway/P02746
P02748,Isoleucine biosynthesis,http://identifiers.org/panther.pathway/P02748
P02750,Lipoate_biosynthesis,http://identifiers.org/panther.pathway/P02750
P02752,Mannose metabolism,http://identifiers.org/panther.pathway/P02752
P02753,Methionine biosynthesis,http://identifiers.org/panther.pathway/P02753
P02754,Methylcitrate cycle,http://identifiers.org/panther.pathway/P02754
P02755,Methylmalonyl pathway,http://identifiers.org/panther.pathway/P02755
P02756,N-acetylglucosamine metabolism,http://identifiers.org/panther.pathway/P02756
P02757,O-antigen biosynthesis,http://identifiers.org/panther.pathway/P02757
P02758,Ornithine degradation,http://identifiers.org/panther.pathway/P02758
P02759,Pyridoxal-5-phosphate biosynthesis,http://identifiers.org/panther.pathway/P02759
P02762,Pentose phosphate pathway,http://identifiers.org/panther.pathway/P02762
P02766,Phenylethylamine degradation,http://identifiers.org/panther.pathway/P02766
P02769,Purine metabolism,http://identifiers.org/panther.pathway/P02769
P02770,Pyridoxal phosphate salvage pathway,http://identifiers.org/panther.pathway/P02770
P02771,Pyrimidine Metabolism,http://identifiers.org/panther.pathway/P02771
P02772,Pyruvate metabolism,http://identifiers.org/panther.pathway/P02772
P02773,S-adenosylmethionine biosynthesis,http://identifiers.org/panther.pathway/P02773
P02774,Salvage pyrimidine deoxyribonucleotides,http://identifiers.org/panther.pathway/P02774
P02775,Salvage pyrimidine ribonucleotides,http://identifiers.org/panther.pathway/P02775
P02776,Serine glycine biosynthesis,http://identifiers.org/panther.pathway/P02776
P02777,Succinate to proprionate conversion,http://identifiers.org/panther.pathway/P02777
P02780,Thiamine metabolism,http://identifiers.org/panther.pathway/P02780
P02781,Threonine biosynthesis,http://identifiers.org/panther.pathway/P02781
P02782,Triacylglycerol metabolism,http://identifiers.org/panther.pathway/P02782
P02787,Vitamin B6 metabolism,http://identifiers.org/panther.pathway/P02787
P02788,Xanthine and guanine salvage pathway,http://identifiers.org/panther.pathway/P02788
P04371,5-Hydroxytryptamine biosynthesis,http://identifiers.org/panther.pathway/P04371
P04372,5-Hydroxytryptamine degredation,http://identifiers.org/panther.pathway/P04372
P04373,5HT1 type receptor mediated signaling pathway,http://identifiers.org/panther.pathway/P04373
P04374,5HT2 type receptor mediated signaling pathway,http://identifiers.org/panther.pathway/P04374
P04375,5HT3 type receptor mediated signaling pathway,http://identifiers.org/panther.pathway/P04375
P04376,5HT4 type receptor mediated signaling pathway,http://identifiers.org/panther.pathway/P04376
P04377,Beta1 adrenergic receptor signaling pathway,http://identifiers.org/panther.pathway/P04377
P04378,Beta2 adrenergic receptor signaling pathway,http://identifiers.org/panther.pathway/P04378
P04379,Beta3 adrenergic receptor signaling pathway,http://identifiers.org/panther.pathway/P04379
P04380,Cortocotropin releasing factor receptor signaling pathway,http://identifiers.org/panther.pathway/P04380
P04384,Gamma-aminobutyric acid synthesis,http://identifiers.org/panther.pathway/P04384
P04385,Histamine H1 receptor mediated signaling pathway,http://identifiers.org/panther.pathway/P04385
P04386,Histamine H2 receptor mediated signaling pathway,http://identifiers.org/panther.pathway/P04386
P04387,Histamine synthesis,http://identifiers.org/panther.pathway/P04387
P04391,Oxytocin receptor mediated signaling pathway,http://identifiers.org/panther.pathway/P04391
P04392,P53 pathway feedback loops 1,http://identifiers.org/panther.pathway/P04392
P04393,Ras Pathway,http://identifiers.org/panther.pathway/P04393
P04394,Thyrotropin-releasing hormone receptor signaling pathway,http://identifiers.org/panther.pathway/P04394
P04395,Vasopressin synthesis,http://identifiers.org/panther.pathway/P04395
P04396,Vitamin D metabolism and pathway,http://identifiers.org/panther.pathway/P04396
P04397,p53 pathway by glucose deprivation,http://identifiers.org/panther.pathway/P04397
P04398,p53 pathway feedback loops 2,http://identifiers.org/panther.pathway/P04398
P05726,5-arachidonylglycerol_biosynthesis,http://identifiers.org/panther.pathway/P05726
P05728,Anandamide_degradation,http://identifiers.org/panther.pathway/P05728
P05729,Bupropion_degradation,http://identifiers.org/panther.pathway/P05729
P05730,Endogenous_cannabinoid_signaling,http://identifiers.org/panther.pathway/P05730
P05731,GABA-B_receptor_II_signaling,http://identifiers.org/panther.pathway/P05731
P05734,Synaptic_vesicle_trafficking,http://identifiers.org/panther.pathway/P05734
P05911,Angiotensin_II-stimulated_signaling_through_G_proteins_and_beta-arrestin,http://identifiers.org/panther.pathway/P05911
P05912,PNAT,http://identifiers.org/panther.pathway/P05912
P05913,Enkephalin release,http://identifiers.org/panther.pathway/P05913
P05914,Nicotine_degradation,http://identifiers.org/panther.pathway/P05914
P05915,Opioid proenkephalin pathway,http://identifiers.org/panther.pathway/P05915
P05916,untitled,http://identifiers.org/panther.pathway/P05916
P05917,Opioid proopiomelanocortin pathway,http://identifiers.org/panther.pathway/P05917
P05918,p38 MAPK pathway,http://identifiers.org/panther.pathway/P05918
P06587,Nicotine pharmacodynamics pathway,http://identifiers.org/panther.pathway/P06587
P06664,untitled,http://identifiers.org/panther.pathway/P06664
P06959,Gastrin_CCK2R_240212,http://identifiers.org/panther.pathway/P06959
Pathway_00002881c0166e88f7672ad745773346,Arginine and Proline metabolism ( Arginine and Proline metabolism ),http://pathwaycommons.org/pc12/Pathway_00002881c0166e88f7672ad745773346
Pathway_000d5aec745d4e572d55651c73bde6ea,Reelin signaling pathway,http://pathwaycommons.org/pc12/Pathway_000d5aec745d4e572d55651c73bde6ea
Pathway_006ac6f536cc8cb18f0849152c3618c7,Wnt secretory pathway (Canonical) ( Canonical Wnt signaling pathway Diagram ),http://pathwaycommons.org/pc12/Pathway_006ac6f536cc8cb18f0849152c3618c7
Pathway_007aadac750a50bbe50491ff324270d6,TGF-beta_super_family_signaling_pathway(canonical) ( TGF-beta_super_family_signaling_pathway(canonical) ),http://pathwaycommons.org/pc12/Pathway_007aadac750a50bbe50491ff324270d6
Pathway_00c9ad4437f0c0ca4e8cb977d1b7d017,ERK cascade ( CD4 T cell receptor signaling ),http://pathwaycommons.org/pc12/Pathway_00c9ad4437f0c0ca4e8cb977d1b7d017
Pathway_0175508fc0608e2ada14773522b4f108,Drosophila Notch signaling pathway ( Notch signaling pathway Diagram ),http://pathwaycommons.org/pc12/Pathway_0175508fc0608e2ada14773522b4f108
Pathway_01bb49d3f2b101aece2eb45ecb45ca4e,Ras signaling in the CD4+ TCR pathway,http://pathwaycommons.org/pc12/Pathway_01bb49d3f2b101aece2eb45ecb45ca4e
Pathway_01bff9503a224b616e5fe2c149f272e0,Signaling events mediated by PTP1B,http://pathwaycommons.org/pc12/Pathway_01bff9503a224b616e5fe2c149f272e0
Pathway_0209edb5c433fe7c4187ad66519ccb1b,Gene expression of IL2 by AP-1 ( CD4 T cell receptor signaling ),http://pathwaycommons.org/pc12/Pathway_0209edb5c433fe7c4187ad66519ccb1b
Pathway_020f4dcb645cf5950864078de0b16d49,IKK-NF-kappaB cascade ( CD4 T cell receptor signaling ),http://pathwaycommons.org/pc12/Pathway_020f4dcb645cf5950864078de0b16d49
Pathway_02255f4e36086b35badc987be34a1d5c,NADH + (S)-1-Pyrroline-5-carboxylic acid = NAD+ + L-Proline ( Arginine and Proline metabolism ),http://pathwaycommons.org/pc12/Pathway_02255f4e36086b35badc987be34a1d5c
Pathway_02c786aa181832de24054b76a1ce8a2b,ketogenesis,http://pathwaycommons.org/pc12/Pathway_02c786aa181832de24054b76a1ce8a2b
Pathway_0337f2b53332a7972e4f90b1da3b040a,acyl carrier protein metabolism,http://pathwaycommons.org/pc12/Pathway_0337f2b53332a7972e4f90b1da3b040a
Pathway_034d82e0948cbacdf538682c5939e8a3,ID,http://pathwaycommons.org/pc12/Pathway_034d82e0948cbacdf538682c5939e8a3
Pathway_03887e589217a391b35c7afe70a6f3a8,DNA-PK pathway in nonhomologous end joining,http://pathwaycommons.org/pc12/Pathway_03887e589217a391b35c7afe70a6f3a8
Pathway_038a5896283aa9d1fead42ebe2df3d4b,NAD+ + (S)-Lactic acid = NADH + Pyruvic acid ( Pyruvate metabolism ),http://pathwaycommons.org/pc12/Pathway_038a5896283aa9d1fead42ebe2df3d4b
Pathway_038de48ff4511160240f2023d836e4de,Beta catenin degradation signaling (Canonical) ( Canonical Wnt signaling pathway Diagram ),http://pathwaycommons.org/pc12/Pathway_038de48ff4511160240f2023d836e4de
Pathway_03e0936470086327a0e6f28f8fe62f35,"Toll-like receptor signaling pathway (through ECSIT, MEKK1, MKKs, JNK cascade) ( Toll-like receptor signaling pathway (through ECSIT, MEKK1, MKKs, JNK cascade) )",http://pathwaycommons.org/pc12/Pathway_03e0936470086327a0e6f28f8fe62f35
Pathway_03f2d019cdfc62a9a2619ea964010375,G alpha s GDP-GTP exchange signaling ( GPCR signaling (G alpha q) ),http://pathwaycommons.org/pc12/Pathway_03f2d019cdfc62a9a2619ea964010375
Pathway_041f3579b538a1a8b254aa4597428c48,JNK cascade ( PDGF signaling pathway ),http://pathwaycommons.org/pc12/Pathway_041f3579b538a1a8b254aa4597428c48
Pathway_042d6cd9ded75f9bb9888508442e945c,purine ribonucleosides degradation to ribose-1-phosphate,http://pathwaycommons.org/pc12/Pathway_042d6cd9ded75f9bb9888508442e945c
Pathway_0440b3bac8e77fec2b8e8a6e42df192b,4-hydroxyproline degradation I,http://pathwaycommons.org/pc12/Pathway_0440b3bac8e77fec2b8e8a6e42df192b
Pathway_04b2e595d66331b0133819496d4e36a8,Cytosolic calcium ion concentration elevation (through IP3 receptor) ( VEGF signaling pathway ),http://pathwaycommons.org/pc12/Pathway_04b2e595d66331b0133819496d4e36a8
Pathway_04b2ead299231e39cd75d76a5eba3f7c,2-Oxo-glutaric acid + L-erythro-4-Hydroxy-glutamic acid = L-Glutamic acid + D-4-Hydroxy-2-oxo-glutaric acid ( Arginine and Proline metabolism ),http://pathwaycommons.org/pc12/Pathway_04b2ead299231e39cd75d76a5eba3f7c
Pathway_05004b6396dce78922db2ddafaff44c3,catecholamine biosynthesis,http://pathwaycommons.org/pc12/Pathway_05004b6396dce78922db2ddafaff44c3
Pathway_0505acf3e8b065db7a91abbe76f214a5,Validated nuclear estrogen receptor alpha network,http://pathwaycommons.org/pc12/Pathway_0505acf3e8b065db7a91abbe76f214a5
Pathway_0560407d4e3f8fdd89938b7cc13897cf,Alpha4 beta1 integrin signaling events,http://pathwaycommons.org/pc12/Pathway_0560407d4e3f8fdd89938b7cc13897cf
Pathway_05e0039bf3239debe53a53a67b18df11,Signaling events mediated by TCPTP,http://pathwaycommons.org/pc12/Pathway_05e0039bf3239debe53a53a67b18df11
Pathway_05fbfc95ee022901a5ef6d9b2be98fe0,FOXA1 transcription factor network,http://pathwaycommons.org/pc12/Pathway_05fbfc95ee022901a5ef6d9b2be98fe0
Pathway_061e7f63c7fdfcdf88f87682bd60417b,Deoxy-uridine + Orthophosphate = 2-Deoxy-D-ribose 1-phosphate + Uracil ( Pyrimidine Nucleotides and Nucleosides metabolism ),http://pathwaycommons.org/pc12/Pathway_061e7f63c7fdfcdf88f87682bd60417b
Pathway_065cdba29b3559634aecc688655b27e2,N-cadherin signaling events,http://pathwaycommons.org/pc12/Pathway_065cdba29b3559634aecc688655b27e2
Pathway_067a99f06c030881fd36ef916f32bac6,arginine biosynthesis IV,http://pathwaycommons.org/pc12/Pathway_067a99f06c030881fd36ef916f32bac6
Pathway_07c29f83c5f2cbc8868d50eae400801c,EGFR-dependent Endothelin signaling events,http://pathwaycommons.org/pc12/Pathway_07c29f83c5f2cbc8868d50eae400801c
Pathway_07dd993d62dbc2fc293b41df8e733a1d,glycogen degradation II,http://pathwaycommons.org/pc12/Pathway_07dd993d62dbc2fc293b41df8e733a1d
Pathway_07e6c85860a397fa9e212590f17128ac,Negative regulation of (G alpha i GDP-GTP exchange signaling) ( GPCR signaling (G alpha i) ),http://pathwaycommons.org/pc12/Pathway_07e6c85860a397fa9e212590f17128ac
Pathway_07ff06d490dcbb9fca943ce137b55ccc,ATP + IDP = ADP + ITP ( Purine nucleotides and Nucleosides metabolism ),http://pathwaycommons.org/pc12/Pathway_07ff06d490dcbb9fca943ce137b55ccc
Pathway_0861307651b66687a8728a84052e9c3e,formaldehyde oxidation II (glutathione-dependent),http://pathwaycommons.org/pc12/Pathway_0861307651b66687a8728a84052e9c3e
Pathway_088cc091170471577ffb6fe1f09f71cf,dermatan sulfate degradation (metazoa),http://pathwaycommons.org/pc12/Pathway_088cc091170471577ffb6fe1f09f71cf
Pathway_08f72de3e07a5576ec6130c64675c89d,ethanol degradation II,http://pathwaycommons.org/pc12/Pathway_08f72de3e07a5576ec6130c64675c89d
