identifier	name	url	n_genes	n_coding_genes	source	license	genes	coding_genes
P00001	Adrenaline and noradrenaline biosynthesis	http://identifiers.org/panther.pathway/P00001	27	27	panther		10490|11185|1312|1621|1644|23673|28968|340024|348932|388662|4128|4129|4837|5409|54716|55117|6530|6531|6570|6571|6616|6843|6844|7054|8417|8773|9342	10490|11185|1312|1621|1644|23673|28968|340024|348932|388662|4128|4129|4837|5409|54716|55117|6530|6531|6570|6571|6616|6843|6844|7054|8417|8773|9342
P00002	Alpha adrenergic receptor signaling pathway	http://identifiers.org/panther.pathway/P00002	23	23	panther		10228|147|148|150|151|152|23236|2767|3708|51196|5330|5331|5332|5578|5580|5581|5582|6616|6843|6844|8677|8773|9341	10228|147|148|150|151|152|23236|2767|3708|51196|5330|5331|5332|5578|5580|5581|5582|6616|6843|6844|8677|8773|9341
P00003	Alzheimer disease-amyloid secretase pathway	http://identifiers.org/panther.pathway/P00003	63	63	panther		102|10524|1128|1129|1131|1132|1133|1139|1432|147700|225689|23385|23621|25825|29941|320|321|351|3831|5045|5046|5122|5126|54760|5578|5579|5580|5581|5582|5583|5584|5585|55851|5586|5588|5590|5594|5595|5596|5597|5598|5599|5600|5601|5602|5603|5663|5664|6300|64837|6868|775|776|778|779|782|783|83464|8754|89832|89953|9159|9546	102|10524|1128|1129|1131|1132|1133|1139|1432|147700|225689|23385|23621|25825|29941|320|321|351|3831|5045|5046|5122|5126|54760|5578|5579|5580|5581|5582|5583|5584|5585|55851|5586|5588|5590|5594|5595|5596|5597|5598|5599|5600|5601|5602|5603|5663|5664|6300|64837|6868|775|776|778|779|782|783|83464|8754|89832|89953|9159|9546
P00004	Alzheimer disease-presenilin pathway	http://identifiers.org/panther.pathway/P00004	109	108	panther		1001|10097|10307|10524|10612|10893|11143|11167|11211|11317|118856|1499|171|1855|1856|1857|2066|2081|23321|23385|23621|2535|25825|2932|323|345651|351|3516|3728|4035|4036|4037|4038|4040|4041|4312|4313|4316|4317|4318|4322|4323|4324|4325|4326|4327|4851|4853|4854|4855|5045|5046|51176|5122|5126|51384|53353|54361|54760|55851|5663|5664|57113|58|59|60|64066|64386|6868|6934|70|71|72|7220|7223|7224|7225|7471|7472|7473|7474|7475|7476|7477|7478|7479|7480|7481|7482|7483|7484|7855|7976|80326|81029|8321|8322|8323|8324|8325|8326|83439|83464|8510|89780|9159|9313|960|999	1001|10097|10307|10524|10612|10893|11143|11167|11211|11317|118856|1499|1855|1856|1857|2066|2081|23321|23385|23621|2535|25825|2932|323|345651|351|3516|3728|4035|4036|4037|4038|4040|4041|4312|4313|4316|4317|4318|4322|4323|4324|4325|4326|4327|4851|4853|4854|4855|5045|5046|51176|5122|5126|51384|53353|54361|54760|55851|5663|5664|57113|58|59|60|64066|64386|6868|6934|70|71|72|7220|7223|7224|7225|7471|7472|7473|7474|7475|7476|7477|7478|7479|7480|7481|7482|7483|7484|7855|7976|80326|81029|8321|8322|8323|8324|8325|8326|83439|83464|8510|89780|9159|9313|960|999
P00005	Angiogenesis	http://identifiers.org/panther.pathway/P00005	152	152	panther		10000|100137049|10297|10683|10750|10817|10818|11317|1398|1399|1409|1410|1432|1499|1796|182|1855|1856|1857|1947|1948|2042|2047|2048|2049|207|208|2113|2149|2152|2155|2246|2260|2353|23683|23779|2535|25759|25865|283748|284|285|28514|2886|2888|2932|3091|324|3265|3315|332|3516|369|3714|3716|3725|3791|387|388|389|392|4214|4690|4846|4851|4853|4855|4893|5058|5062|5063|5154|5155|5156|5159|5286|5287|5289|5290|5291|5293|5294|5295|5296|5321|5335|5336|5337|5338|54567|55615|5578|5579|5580|5581|5582|5583|5584|5587|5588|5590|5594|5595|5599|56034|5604|5605|56848|5747|5787|5829|5894|5921|6416|6464|6654|6655|6714|673|6772|6774|6932|6934|7010|7041|7422|7471|7472|7474|7476|7477|7480|7482|7855|7867|7976|79930|80310|80326|81029|8312|8321|842|8440|8503|8605|8788|8877|9046|9047|9261|9404	10000|100137049|10297|10683|10750|10817|10818|11317|1398|1399|1409|1410|1432|1499|1796|182|1855|1856|1857|1947|1948|2042|2047|2048|2049|207|208|2113|2149|2152|2155|2246|2260|2353|23683|23779|2535|25759|25865|283748|284|285|28514|2886|2888|2932|3091|324|3265|3315|332|3516|369|3714|3716|3725|3791|387|388|389|392|4214|4690|4846|4851|4853|4855|4893|5058|5062|5063|5154|5155|5156|5159|5286|5287|5289|5290|5291|5293|5294|5295|5296|5321|5335|5336|5337|5338|54567|55615|5578|5579|5580|5581|5582|5583|5584|5587|5588|5590|5594|5595|5599|56034|5604|5605|56848|5747|5787|5829|5894|5921|6416|6464|6654|6655|6714|673|6772|6774|6932|6934|7010|7041|7422|7471|7472|7474|7476|7477|7480|7482|7855|7867|7976|79930|80310|80326|81029|8312|8321|842|8440|8503|8605|8788|8877|9046|9047|9261|9404
P00006	Apoptosis signaling pathway	http://identifiers.org/panther.pathway/P00006	108	108	panther		10000|10017|10018|100529063|11016|1147|122953|1386|1388|1390|1616|1965|2021|207|208|22926|2353|2999|3002|317|329|330|3303|3304|3305|3306|3309|331|3310|3312|3482|355|3551|356|3725|4049|4050|4170|4214|4217|466|467|468|4790|4791|4792|5290|5291|5293|5294|54205|5578|5579|5580|5581|5582|5583|5588|5594|5595|5599|5601|5602|5606|5609|5610|56616|578|581|5871|596|5966|5970|5971|598|599|638|6416|666|7009|7124|7132|7133|7157|7186|836|840|841|842|843|8491|8567|8575|8717|8737|8738|8743|8772|8793|8794|8795|8797|8837|9020|9131|9448|9530|9531	10000|10017|10018|100529063|11016|1147|122953|1386|1388|1390|1616|1965|2021|207|208|22926|2353|2999|3002|317|329|330|3303|3304|3305|3306|3309|331|3310|3312|3482|355|3551|356|3725|4049|4050|4170|4214|4217|466|467|468|4790|4791|4792|5290|5291|5293|5294|54205|5578|5579|5580|5581|5582|5583|5588|5594|5595|5599|5601|5602|5606|5609|5610|56616|578|581|5871|596|5966|5970|5971|598|599|638|6416|666|7009|7124|7132|7133|7157|7186|836|840|841|842|843|8491|8567|8575|8717|8737|8738|8743|8772|8793|8794|8795|8797|8837|9020|9131|9448|9530|9531
P00007	Axon guidance mediated by semaphorins	http://identifiers.org/panther.pathway/P00007	19	19	panther		1020|10371|10507|10570|1400|1807|1808|2242|2444|2534|387|5058|5361|5364|56896|5879|5880|8829|9138	1020|10371|10507|10570|1400|1807|1808|2242|2444|2534|387|5058|5361|5364|56896|5879|5880|8829|9138
P00008	Axon guidance mediated by Slit/Robo	http://identifiers.org/panther.pathway/P00008	18	18	panther		1630|22854|25|389|4917|57522|5879|5880|59277|6091|6387|6585|6586|7852|84628|9353|9423|998	1630|22854|25|389|4917|57522|5879|5880|59277|6091|6387|6585|6586|7852|84628|9353|9423|998
P00009	Axon guidance mediated by netrin	http://identifiers.org/panther.pathway/P00009	30	30	panther		137970|1630|219699|22854|23533|3983|4773|4775|4776|4917|5286|5287|5290|5291|5293|5294|5295|5296|5335|5336|58480|5879|5880|59277|7408|84628|8503|8633|9423|998	137970|1630|219699|22854|23533|3983|4773|4775|4776|4917|5286|5287|5290|5291|5293|5294|5295|5296|5335|5336|58480|5879|5880|59277|7408|84628|8503|8633|9423|998
P00010	B cell activation	http://identifiers.org/panther.pathway/P00010	54	54	panther		10451|10746|1147|1432|2353|2885|29760|3265|3551|369|3708|3709|3710|3725|4067|4215|4792|4795|4893|5290|5291|5293|5294|5336|5530|5532|5579|5580|5594|5595|5599|5600|5601|5602|5603|5604|5605|5777|5788|5879|5880|5894|6300|6654|6655|6850|695|7409|7410|801|930|933|973|974	10451|10746|1147|1432|2353|2885|29760|3265|3551|369|3708|3709|3710|3725|4067|4215|4792|4795|4893|5290|5291|5293|5294|5336|5530|5532|5579|5580|5594|5595|5599|5600|5601|5602|5603|5604|5605|5777|5788|5879|5880|5894|6300|6654|6655|6850|695|7409|7410|801|930|933|973|974
